times,x,y,vx,vy,radius
20.597,-1,-1,-1,-1,-1
20.623,-1,-1,-1,-1,-1
20.647,0.9541452680744027,0.9434018131549018,0.0,0.0,0.19546239133175594
20.672,0.9535983482067476,0.9423996016215581,0.0,0.0,0.1956331573656225
20.696,-1,-1,-1,-1,-1
20.722,-1,-1,-1,-1,-1
20.746,-1,-1,-1,-1,-1
20.772,0.952994292499227,0.9419255201748608,0.0,0.0,0.19641498402798116
20.797,0.9538902201627633,0.944564007186698,0.0,0.0,0.19780528279050422
20.822,0.9547386500150403,0.9300939721447964,0.0,0.0,0.17931013029452167
20.847,-1,-1,-1,-1,-1
20.872,-1,-1,-1,-1,-1
20.897,0.9765346467330832,0.9244290749245674,0.0,0.0,0.1851975318822732
20.922,-1,-1,-1,-1,-1
20.947,-1,-1,-1,-1,-1
20.972,0.9514806536120548,0.9420532407075517,0.0,0.0,0.19684658639011185
20.997,-1,-1,-1,-1,-1
21.022,0.9765354984590076,0.9354072982405902,0.0,0.0,0.1949782031889554
21.047,0.9544781364056367,0.9455170393897361,0.0,0.0,0.1953135422580148
21.072,0.9529297218886821,0.9131014648172402,0.0,0.0,0.16751274749990921
21.097,-1,-1,-1,-1,-1
21.122,-1,-1,-1,-1,-1
21.147,0.952149534075633,0.9413650157793172,0.0,0.0,0.19585845953653777
21.172,-1,-1,-1,-1,-1
21.197,-1,-1,-1,-1,-1
21.222,0.9539346387529858,0.9432129218747742,0.0,0.0,0.19616420086849137
21.246,0.9550214211852917,0.945027740799514,0.0,0.0,0.1963190418951352
21.272,0.9553386567373962,0.9456709822425773,0.0,0.0,0.1959386872743453
21.297,0.9740628213697631,0.9332026923663548,0.0,0.0,0.19647872662773272
21.322,0.9553113656092931,0.9274127118345614,0.0,0.0,0.18002085545816396
21.346,0.9739210993368748,0.9335868994377167,0.0,0.0,0.19426994533025474
21.372,-1,-1,-1,-1,-1
21.397,-1,-1,-1,-1,-1
21.421,0.9737524975062248,0.9311312465475662,0.0,0.0,0.1944492664718365
21.447,-1,-1,-1,-1,-1
21.472,-1,-1,-1,-1,-1
21.497,0.9563153787848478,0.9458560298190091,0.0,0.0,0.1968335084333422
21.522,0.9335918213331056,0.9199926111972931,0.0,0.0,0.1575829556575982
21.547,0.9547705444937592,0.9439808325613186,0.0,0.0,0.19643602229388854
21.572,0.9573914753543399,0.946661153511311,0.0,0.0,0.195165900575641
21.597,-1,-1,-1,-1,-1
21.622,-1,-1,-1,-1,-1
21.647,-1,-1,-1,-1,-1
21.671,0.9729031210823058,0.9363549281535293,0.0,0.0,0.19256989311952874
21.697,0.9738694797471014,0.9341876365880386,0.0,0.0,0.19540301294220921
21.722,0.9577568129563364,0.9491640827252383,0.0,0.0,0.19754413132172347
21.747,-1,-1,-1,-1,-1
21.772,-1,-1,-1,-1,-1
21.797,-1,-1,-1,-1,-1
21.822,-1,-1,-1,-1,-1
21.847,-1,-1,-1,-1,-1
21.872,0.9550725240289238,0.9450437489812188,0.0,0.0,0.19842024114300047
21.897,-1,-1,-1,-1,-1
21.922,0.9549270436713355,0.9428687388418342,0.0,0.0,0.19543779521529972
21.947,-1,-1,-1,-1,-1
21.972,-1,-1,-1,-1,-1
21.997,0.9546089900327631,0.9419288412904409,0.0,0.0,0.19530353686199678
22.022,-1,-1,-1,-1,-1
22.047,-1,-1,-1,-1,-1
22.072,0.9544697814978732,0.9434383051546356,0.0,0.0,0.1961694863785912
22.097,0.9542031968978485,0.9457243061118599,0.0,0.0,0.19593602866098317
22.122,-1,-1,-1,-1,-1
22.147,-1,-1,-1,-1,-1
22.172,0.9768909681538962,0.9256675356510949,0.0,0.0,0.18812140927290819
22.197,-1,-1,-1,-1,-1
22.222,-1,-1,-1,-1,-1
22.246,-1,-1,-1,-1,-1
22.271,0.9750397146867533,0.9355404425276215,0.0,0.0,0.1932934193701644
22.297,0.9546798752425536,0.9429307795558466,0.0,0.0,0.19646480702834654
22.322,-1,-1,-1,-1,-1
22.347,-1,-1,-1,-1,-1
22.372,0.9544400041717934,0.9441984511397554,0.0,0.0,0.19591436808398663
22.397,-1,-1,-1,-1,-1
22.422,-1,-1,-1,-1,-1
22.447,0.9557982838781105,0.945815599501967,0.0,0.0,0.19601920683892457
22.472,-1,-1,-1,-1,-1
22.497,-1,-1,-1,-1,-1
22.522,-1,-1,-1,-1,-1
22.547,-1,-1,-1,-1,-1
22.572,0.9727482497391421,0.9324684953531333,0.0,0.0,0.19398558277377612
22.597,-1,-1,-1,-1,-1
22.622,0.9523638646236662,0.9403905818934555,0.0,0.0,0.19589969785837044
22.647,0.973282920220572,0.9357004239494506,0.0,0.0,0.1960313808253332
22.672,-1,-1,-1,-1,-1
22.697,-1,-1,-1,-1,-1
22.721,-1,-1,-1,-1,-1
22.747,0.9553003819590693,0.9481897136150196,0.0,0.0,0.19875070155606248
22.772,-1,-1,-1,-1,-1
22.797,0.9548702051624973,0.9456074224746279,0.0,0.0,0.19626160864230466
22.822,0.9759163503770601,0.9364810016108897,0.0,0.0,0.19636690135431198
22.847,0.9761578900673344,0.9345251738210516,0.0,0.0,0.19432568757837151
22.872,-1,-1,-1,-1,-1
22.897,-1,-1,-1,-1,-1
22.922,-1,-1,-1,-1,-1
22.947,-1,-1,-1,-1,-1
22.972,0.9530173536341366,0.9405497451291596,0.0,0.0,0.19285799974178638
22.997,0.9552732519798564,0.9447164356351669,0.0,0.0,0.19563471460655427
23.022,0.9755772582617972,0.9342816199615656,0.0,0.0,0.19426421632743088
23.046,-1,-1,-1,-1,-1
23.072,-1,-1,-1,-1,-1
23.097,0.9580811122271049,0.9161974105155662,0.0,0.0,0.19171465131829188
23.122,0.9537005687717091,0.9096784565957183,0.0,0.0,0.18865292697515587
23.147,0.9705194813938278,0.8942570022724822,0.0,0.0,0.18891788499530524
23.172,-1,-1,-1,-1,-1
23.197,0.9567795806651586,0.8783720516054557,0.0,0.0,0.18558135615518986
23.222,-1,-1,-1,-1,-1
23.247,0.9651576886948002,0.874301861873243,0.0,0.0,0.19887890371032133
23.272,1.0040038526226902,0.8396207956868318,0.0,0.0,0.10613120766345882
23.297,0.9569187407575782,0.8617655208048915,0.0,0.0,0.19469854704725378
23.322,-1,-1,-1,-1,-1
23.347,-1,-1,-1,-1,-1
23.372,-1,-1,-1,-1,-1
23.397,0.9537639358923053,0.827484916437667,0.0,0.0,0.18791002272969357
23.422,1.0067056502165266,0.8076920890946792,0.0,0.0,0.10856108553893737
23.447,0.960717833099985,0.8218129208288594,0.0,0.0,0.1992150172844601
23.472,0.9581216401230626,0.8162325114037021,0.0,0.0,0.19783627205956714
23.497,0.9672910675319326,0.798782883451011,0.0,0.0,0.19870522966873297
23.521,-1,-1,-1,-1,-1
23.547,1.0020833679761543,0.7636879009153286,0.0,0.0,0.1165361491962145
23.572,0.9548185796735329,0.781364580489593,0.0,0.0,0.1931294475235066
23.597,0.9477873802528054,0.7737913897235313,0.0,0.0,0.19066149147115694
23.622,0.9503255842161178,0.7741014893391193,0.0,0.0,0.19166767363084555
23.647,-1,-1,-1,-1,-1
23.672,0.9529223807706453,0.7634547251464295,0.0,0.0,0.19961747305525765
23.697,1.0035738555207234,0.7220830961563887,0.0,0.0,0.12741830443751187
23.722,0.9581609036210705,0.7298584309254362,0.0,0.0,0.187248620602772
23.747,0.9504621355409757,0.7352831169676907,0.0,0.0,0.19269785336804393
23.772,-1,-1,-1,-1,-1
23.797,-1,-1,-1,-1,-1
23.822,1.004171880411917,0.7009401322594938,0.0,0.0,0.11974830551838131
23.847,-1,-1,-1,-1,-1
23.872,0.9573057374491174,0.7033766717752625,0.0,0.0,0.19925509990135323
23.896,0.9497253596800486,0.6985943757234608,0.0,0.0,0.19944016238195358
23.922,-1,-1,-1,-1,-1
23.947,0.9882380586501516,0.644213380178936,0.0,0.0,0.11146002196591726
23.972,0.9492930504201841,0.6712928105873655,0.0,0.0,0.19339744585687554
23.997,-1,-1,-1,-1,-1
24.022,-1,-1,-1,-1,-1
24.047,0.948179920877655,0.6452646424254759,0.0,0.0,0.19085515462124855
24.072,0.9444121127074186,0.6394113201780034,0.0,0.0,0.18730309598183545
24.097,-1,-1,-1,-1,-1
24.122,0.9472333825237846,0.6337618068824781,0.0,0.0,0.199151462658225
24.147,-1,-1,-1,-1,-1
24.172,0.9569200338827566,0.6138139107879128,0.0,0.0,0.19378032582393298
24.197,-1,-1,-1,-1,-1
24.221,-1,-1,-1,-1,-1
24.247,0.9972718186824883,0.5812057891182217,0.0,0.0,0.13781874130481042
24.272,0.9250494378206118,0.5927618570680967,0.0,0.0,0.18611493591450687
24.297,0.975660609913334,0.5688306840059273,0.0,0.0,0.13194373302575718
24.322,-1,-1,-1,-1,-1
24.347,0.9131211413024722,0.5792750814998773,0.0,0.0,0.19042923680915289
24.372,0.9236504182959433,0.5718423992786807,0.0,0.0,0.19943246561217834
24.397,0.9366631877740723,0.5593467407156169,0.0,0.0,0.19854780199314512
24.422,0.9865278397747219,0.5116025795962948,0.0,0.0,0.12254870621375441
24.446,-1,-1,-1,-1,-1
24.472,-1,-1,-1,-1,-1
24.497,0.9363990016114929,0.5313122185950871,0.0,0.0,0.19902399101670173
24.522,0.9353322898587793,0.4997616266756616,0.0,0.0,0.17001222699252946
24.547,-1,-1,-1,-1,-1
24.572,0.9417070192083761,0.5006105027053556,0.0,0.0,0.19829327506852637
24.597,-1,-1,-1,-1,-1
24.622,0.9422876925638758,0.4636004466506558,0.0,0.0,0.17347445368870948
24.647,-1,-1,-1,-1,-1
24.672,-1,-1,-1,-1,-1
24.697,0.930256868529097,0.4755637637156067,0.0,0.0,0.19756134866613287
24.722,-1,-1,-1,-1,-1
24.747,-1,-1,-1,-1,-1
24.771,0.9363646444744547,0.44698582134818593,0.0,0.0,0.19660172580247362
24.797,0.930023211066914,0.44209642263476234,0.0,0.0,0.19475350203779043
24.822,0.9483775976140769,0.42050137965018014,0.0,0.0,0.1899499868288604
24.847,0.9925979647007293,0.3951390037716974,0.0,0.0,0.10263977932868332
24.872,-1,-1,-1,-1,-1
24.897,0.9315092110115715,0.40915326508311467,0.0,0.0,0.19231704439461825
24.922,0.9220455928629536,0.41190278329187147,0.0,0.0,0.19510106103526156
24.947,0.9205456958655863,0.38684057326794646,0.0,0.0,0.18295086388154766
24.972,-1,-1,-1,-1,-1
24.997,0.9812592991262691,0.3437464450578642,0.0,0.0,0.09762449514418989
25.022,-1,-1,-1,-1,-1
25.047,0.9432910727049655,0.35379409600254175,0.0,0.0,0.1883189175501593
25.072,0.9392525481161943,0.35841976922887153,0.0,0.0,0.19924553270815185
25.101,0.94181193969001,0.3430887663879091,0.0,0.0,0.1943867776437547
25.126,-1,-1,-1,-1,-1
25.151,0.994185153959833,0.30656218178492567,0.0,0.0,0.10265378128231833
25.176,-1,-1,-1,-1,-1
25.201,0.9728054431584139,0.293284535133278,0.0,0.0,0.0855050058798495
25.226,-1,-1,-1,-1,-1
25.251,0.9674713131600499,0.27229523746770123,0.0,0.0,0.09768981296008974
25.276,-1,-1,-1,-1,-1
25.301,0.9791754057781046,0.2559583798593078,0.0,0.0,0.08596501282741689
25.326,-1,-1,-1,-1,-1
25.351,0.9878041894199813,0.23487240292765837,0.0,0.0,0.08652760288509165
25.375,-1,-1,-1,-1,-1
25.401,0.9464486590613762,0.2526466762132409,0.0,0.0,0.19480807230272487
25.426,-1,-1,-1,-1,-1
25.451,-1,-1,-1,-1,-1
25.476,0.9316759880918605,0.23004626374816498,0.0,0.0,0.1850317700826488
25.501,0.936945917698897,0.2283488307001311,0.0,0.0,0.19267952575513034
25.526,0.9511959284668978,0.21738519422346744,0.0,0.0,0.19902885226677383
25.551,0.9464073125103997,0.20933183104316244,0.0,0.0,0.19811111991357208
25.576,0.9883844240264701,0.17558170004905344,0.0,0.0,0.10023044465483219
25.601,0.9454092532286384,0.1947999218543256,0.0,0.0,0.19669138267368255
25.626,-1,-1,-1,-1,-1
25.651,0.9458667426440818,0.17315655852335757,0.0,0.0,0.1885672324057349
25.676,0.9379153582213258,0.17063789445773034,0.0,0.0,0.19239217665728117
25.701,0.9503674084897655,0.15106100001230519,0.0,0.0,0.17889465058793871
25.726,0.9860516863588893,0.11656880215805035,0.0,0.0,0.08889394179549395
25.75,0.9459616754712987,0.1441723914715794,0.0,0.0,0.18922820861555498
25.776,0.9873234711057448,0.10768109996591985,0.0,0.0,0.09878254054367888
25.801,0.9397594956498785,0.12470294335293025,0.0,0.0,0.18172151541662682
25.825,0.9825190108145847,0.08554481939378439,0.0,0.0,0.09240658072834995
25.85,0.9799470210329143,0.07555716843823901,0.0,0.0,0.08205189311993272
25.876,0.9429559031612199,0.11487593057081996,0.0,0.0,0.19076564566095358
25.901,0.9467207090337738,0.11517149847384928,0.0,0.0,0.19543972805848522
25.926,0.9387715558492224,0.11520830598521636,0.0,0.0,0.18885810202313855
25.95,0.9530438138823734,0.10710213212430486,0.0,0.0,0.18294536073278075
25.976,0.9539182051626018,0.11007480348613446,0.0,0.0,0.19760443509557032
26.0,-1,-1,-1,-1,-1
26.026,0.9939432392575204,0.06639241531615364,0.0,0.0,0.10008295482121382
26.051,0.9637172369349059,0.09631901010664656,0.0,0.0,0.19397087590819226
26.076,0.9525244863799183,0.09550281614516781,0.0,0.0,0.186450423699665
26.102,0.9749273130624629,0.07914976070313864,0.0,0.0,0.18855801098502953
26.126,0.9700683996832925,0.07903441357153598,0.0,0.0,0.18695123060084226
