times,x,y,vx,vy,radius
20.559,-1,-1,-1,-1,-1
20.66,-1,-1,-1,-1,-1
20.759,-1,-1,-1,-1,-1
20.86,0.9538801776580876,0.9388410062805872,8.685148616281927e-05,-0.00030240332296799927,0.29115945405425736
20.96,-1,-1,-1,-1,-1
21.06,-1,-1,-1,-1,-1
21.159,-1,-1,-1,-1,-1
21.259,-1,-1,-1,-1,-1
21.359,0.9587526749907017,0.9388884511146933,0.00047235649389371597,-0.00042396772157656545,0.29297799310246475
21.459,-1,-1,-1,-1,-1
21.559,0.9448411072003047,0.9327962837823011,-0.0011249285867199138,-0.0012803672585007886,0.2771105938544858
21.659,-1,-1,-1,-1,-1
21.76,0.9681453748815173,0.939925553241142,-0.00046644570595966785,0.0003500612830992908,0.2951809631874506
21.859,-1,-1,-1,-1,-1
21.959,-1,-1,-1,-1,-1
22.059,-1,-1,-1,-1,-1
22.159,-1,-1,-1,-1,-1
22.259,-1,-1,-1,-1,-1
22.359,-1,-1,-1,-1,-1
22.459,-1,-1,-1,-1,-1
22.559,-1,-1,-1,-1,-1
22.659,-1,-1,-1,-1,-1
22.759,-1,-1,-1,-1,-1
22.859,0.9654974666074746,0.9409990317414532,0.0010418883769585559,-0.0004518030130563501,0.2963145169204775
22.959,-1,-1,-1,-1,-1
23.059,0.9613437085791524,0.9398446584992851,0.0008163093083348771,-6.912614018377122e-05,0.2942569271473879
23.16,0.9558691546407169,0.9129056615065342,-0.00021685858690078449,-0.00032272049108157994,0.2901761729170146
23.26,-1,-1,-1,-1,-1
23.359,-1,-1,-1,-1,-1
23.459,0.9804968807490904,0.8174905184723958,0.0026208769467436256,-0.0009798429377716742,0.24803816871841805
23.559,-1,-1,-1,-1,-1
23.659,0.9635649120693249,0.7732833767632061,-0.00377631920655189,0.000940732926262512,0.27313879601686814
23.759,0.9716749457550247,0.738301014069043,0.0018384867631744532,-0.002466050105626124,0.2713347905119021
23.859,-1,-1,-1,-1,-1
23.959,-1,-1,-1,-1,-1
24.059,-1,-1,-1,-1,-1
24.159,-1,-1,-1,-1,-1
24.262,-1,-1,-1,-1,-1
24.359,-1,-1,-1,-1,-1
24.459,0.9401230088827843,0.555399663911892,0.0026472419196384434,-0.0023407272145083606,0.2777080646070525
24.559,0.935860364983885,0.5153807315862683,-5.280751251057758e-05,-0.001561910491060671,0.2844459404373913
24.667,-1,-1,-1,-1,-1
24.759,-1,-1,-1,-1,-1
